job_name,job_request,position_label,job_advantage,description,work_addr,comp_name,comp_domain,comp_stage,comp_scale,comp_invest,lagou_comp_page,comp_index_page,lg_url
数据挖掘工程师,15k-20k /北京 / 经验3-5年 / 本科及以上 / 全职,SPSS<p>数据挖掘<p>SQL<p>大数据<p>数据分析,平台大，项目好，团队优秀，环境优美,职位描述：<p>岗位职责：<p>1、对海量业务数据进行处理和分析，发现和跟踪其中的问题。能够从业务和产品的角度出发，利用数据来发现产品、系统或是业务的瓶颈，并提出优化的方案。<p>2、能够利用数据挖掘，机器学习等技术解决实际问题，比如实现模块或流程自动化，或者是有算法精度的优化。<p>3、根据用户的行为建立画像，并进行精准的营销和个性化推荐。<p>4、建立各种业务逻辑模型和数学模型。<p><p>任职要求：<p>1、本科以上学历，两年以上数据分析/挖掘相关工作经验，互联网相关领域优先；<p>2、具备大数据的处理能力，掌握hive、SQL等相关数据提取工具，熟练操作excel、SAS/SPSS、PPT等工具；<p>3、良好的数据敏感度，能从海量数据提炼核心结果；有丰富的数据分析、挖掘、清洗和建模的经验；<p>4、具备良好的抗压能力、沟通能力和团队精神，有独立开展分析研究项目经验。,北京 - 朝阳区 - 姚家园 - 东四环北路7号太合大院（南十里居路）,太合娱乐,移动互联网 ，文化娱乐,不需要融资,150-500人,,https://www.lagou.com/gongsi/3294.html,http://www.taihemedia.com/,https://www.lagou.com/jobs/3558370.html
大数据挖掘算法工程师,18k-35k /北京 / 经验3-5年 / 本科及以上 / 全职,数据分析<p>算法<p>数据挖掘<p>机器学习<p>大数据,五险一金，补贴，弹性工作日,职位描述：<p>岗位描述：<p>1、利用数据挖掘、机器学习、AI等技术设计开发智能商业核心算法及产品<p>2、基于海量数据开发设计高并发高效的数据挖掘、机器学习、统计分析、图等算法<p>  任职要求 ：<p>1、  本科以上学历，计算机/数学相关专业，4年以上相关工作经验<p>2、  熟悉常用数据挖掘/机器学习算法，并有实际项目的模型开发，自然语言处理，NLP语义模型分析应用和优化经验<p>3、  精通java/scala/python一种或几种语言，熟练使用SQL，熟悉Spark，有海量数据处理经验<p>4、  熟悉hadoop，有hadoop开发（mr/spark/hive/hbase/storm等）经验,北京 - 海淀区 - 西二旗 - 上地西路6号,联想集团,移动互联网，数据服务,上市公司,2000人以上,,https://www.lagou.com/gongsi/1650.html,http://www.lenovo.com/,https://www.lagou.com/jobs/3979505.html
数据挖掘算法专家,30k-60k /北京 / 经验3-5年 / 硕士及以上 / 全职,算法<p>数据挖掘<p>大数据,五险一金，绩效奖金，项目奖金，报销津贴,职位描述：<p>职位描述：<p>1.负责根据灵云人工智能各核心能力算法的数据处理需求，提供数据处理的高级技术支持与支撑工作；<p>2.负责各种数据资源处理的具体方法制定与制作流程的规范化，为灵云人工智能各项核心技术构建一套有序高效与高质量的数据处理体系与方案，包括但不限于文本、语音与图像数据加工的指导、知识库编辑的培训和技术文档的编写等内容；<p>3.负责数据的分析、挖掘、优化和难点攻坚等数据处理层面工作，并将其成果应用相关产品线中，以及配合核心研究员完成各种数据问题的分析、解决及其数据资源的产品化；<p>4.负责灵云人工智能中数据平台的方案设计、搭建、维护和优化等工作。<p><p>任职资格：<p>1.学历要求：<p> -统招统分本科及以上学历，数学、统计学、计算机、智能信息处理类等专业背景。<p>2.工作经验及能力要求：<p> -3年以上工作经验，2年以上团队管理经验；<p> -对数字，数据敏感，具备良好的逻辑思维能力，能够从海量数据中发现有价值的规律；<p> -优秀的分析问题与解决问题能力，具有较好的归纳能力、文字和语言表达能力；<p> -熟悉数据结构，熟悉数据挖掘和机器学习算法等常用算法，并对机器学习算法和理论有较深入的研究（例如对决策树、聚类、逻辑回归，序列标注，关联分析、SVM，贝叶斯等数据挖掘算法有较深理解和实践经验）；<p> -熟悉java/Python，有算法研究背景经验；<p> -熟悉文本挖掘分析方法及分布式数据分析工具使用；<p> -熟悉Hadoop、Spark平台，熟悉storm流式处理框架，熟悉Hive工具，或百T左右数据量处理经验。<p>3.优先考虑：<p> -有社会性网络数据的挖掘经验者优先。<p>-有相关从业的工作背景经验者优先考虑。,北京 - 海淀区 - 中关村软件园2A楼2101,捷通华声,移动互联网，数据服务,不需要融资,150-500人,,https://www.lagou.com/gongsi/356.html,http://www.sinovoice.com/index.html,https://www.lagou.com/jobs/4040247.html
数据挖掘专家,20k-35k /北京 / 经验5-10年 / 本科及以上 / 全职,专家<p>数据挖掘<p>大数据<p>数据分析,最现场,职位描述：<p>岗位描述：<p>1. 大麦用户营销模型，利用阿里庞大的用户体系，挖掘大麦的受众用户，促进用户成单<p>2. 挖掘大麦及阿里的用户画像，用户偏好的演出、赛事等信息<p>3. 挖掘用户流失模型、价值用户体系模型等    <p>岗位要求：<p>1.  熟悉常规的数据挖掘方法，对数据敏感，善于学习新技术；<p>2. 具备优秀的数据建模能力，善于使用挖掘建模等手段解决实际问题；<p>3. 扎实的编程基础，有海量数据处理经验优先，熟悉R/Python语言优先，熟悉阿里集团xlab/派等工具的优先；<p>4. 具有良好的商业敏感度，能够开发创新的分析挖掘方法以解决复杂的商业问题；    ,北京 - 朝阳区 - 望京 - 东煌大厦,阿里文娱,文化娱乐，移动互联网,上市公司,2000人以上,,https://www.lagou.com/gongsi/216917.html,http://campus.chinahr.com/2017/alwy/index.html,https://www.lagou.com/jobs/4123344.html
资深数据挖掘工程师/算法专家,30k-50k /北京 / 经验5-10年 / 硕士及以上 / 全职,数据挖掘<p>机器学习<p>人工智能<p>互联网金融,互金，机器学习，数据挖掘,职位描述：<p>关键词：大数据 机器学习 人工智能 互联网金融<p><p>公司介绍：<p>宜信大数据创新中心隶属于宜信公司，由全球一流的资深技术专家和产品开发团队组成，业务范围涵盖多个以云计算，大数据，机器学习，人工智能，和移动互联网技术驱动的金融服务。目前孵化产品包括为小微商户提供实时授信金融服务的”商通贷”，宜信线上综合型财富管理平台“指旺财富”，基于大数据技术的风控引擎“姨搜”，微额快速信贷服务等。大数据创新中心是宜信“科技让金融更美好”远景规划的践行者。<p><p>所属部门：研究团队<p><p>职位描述：<p>1.负责应用机器学习算法对公司的海量金融数据进行分析和挖掘，方向包括（不仅限于）风险控制，反欺诈，精准市场营销，人工智能；<p>2.从大数据中挖掘用户本质属性，并分析用户行为模式和个性化需求，从而对相关产品做出改进；<p>3.根据业务产品，建立并完善模型效果评估体系；<p>4.与产品业务部门密切配合寻求数据层面的商业价值，调研分析新业务应用场景；<p>5.研究探索互联网金融前沿技术。<p><p>职位要求：<p>1.5年以上相关工作经验；<p>2.应用数学，统计学，经济学，应用物理，计算机相关专业，硕士以上学历。博士学历优先；<p>3.熟悉大规模数据分析技术，掌握机器学习的相关技术，熟悉数据挖掘相关算法，如决策树-decision tree， SVM、聚类-clustering， 逻辑回归-logistic regression，贝叶斯-Bayesian，深度学习等；<p>4.熟悉Python或Java语言，具有扎实的实际编程经验。熟悉SQL和ETL相关流程，熟悉Linux环境及常用命令。具有Hadoop及相关（Hbase、Hive、Pig等）经验；<p>5.工作态度认真、责任心强，有团队合作精神；有快速学习能力和良好沟通能力。<p>6.有金融相关工作经历优先，有学术研究背景优先。 ,北京 - 朝阳区 - 大望路 - 东方梅地亚中心,宜信,金融,上市公司,2000人以上,,https://www.lagou.com/gongsi/3786.html,http://www.creditease.cn/,https://www.lagou.com/jobs/3766934.html
技术经理(数据挖掘与应用...,25k-40k /北京 / 经验5-10年 / 本科及以上 / 全职,Java<p>大数据<p>数据挖掘,行业top，加班少，六险一金，团队氛围好,职位描述：<p><p>主要负责团队数据应用方面项目研发。<p>岗位要求：<p><p>1.精通java或某一种主流开发语言。良好的编程习惯和算法基础，有一定的系统架构能力。<p>2.熟练掌握主流关系型数据库和NoSQL数据库的使用，熟悉数据仓库相关理论知识。<p>3.能够通过对数据分析或统计的结果，对数据进行进行针对性的处理。<p>4.有较强的学习能力和问题解决能力，良好沟通能力团队协作能力。<p><p>能够带领开发人员根据产品需求，对现有积累数据进行价值挖掘，并开发形成相关商业应用。<p><p><p>加分项：<p>+有全栈工程师的经历。<p>+有构建垂直领域知识图谱，或者开放知识图谱的经历<p>+有过团队管理经验，了解敏捷开发模式，熟悉持续集成，bugtrace，静态bug分析工具等。<p>+熟悉一种以上机器学习框架，熟悉各种数据挖掘算法。<p>+有过hybrid模式的APP开发经历<p>+有spark相关工作经验者。<p>+使用过NoSQL数据库，并有充足经验。<p>+对开源技术有强烈兴趣和爱好。<p>+通过docker技术的集群管理。<p>+有mahout，mllib等开源技术经验和实务经历者优先。<p>+提供个人blog，bitbucket或者github相关作品链接。,北京市 - 朝阳区 - 大望路 - 大望路,宜信,金融,上市公司,2000人以上,,https://www.lagou.com/gongsi/3786.html,http://www.creditease.cn/,https://www.lagou.com/jobs/3662090.html
MIG16-大数据挖掘高级工程...,18k-36k /北京 / 经验1-3年 / 硕士及以上 / 全职,python<p>数据挖掘<p>大数据<p>Java,大平台，新领域，大咖多,职位描述：<p>工作职责：<p>基于大规模互联网、UGC、日志等大数据，挖掘并优化LBS数据质量，发掘数据价值。<p>    工作要求：<p>有Deep Learning实战经验，熟悉常用框架并对其中至少一种有深入理解，有多机多卡分布式集群开发部署经验者优先;<p>熟练掌握自然语言处理领域的基础理论和方法，并有一定的相关研究或项目经验优先;<p>具有较强编程能力，熟练使用至少一种脚本语言(python/shell等)，有C++开发经验，熟悉linux开发环境，有MPI、CUDA经验优先;<p>优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情;<p>较好的沟通能力，能快速理解业务，对数据敏感，并能主导项目的进度，保证团队产出。<p>   ,北京 - 海淀区 - 北京大学 - 第三极大厦,腾讯,移动互联网 ，游戏,上市公司,2000人以上,,https://www.lagou.com/gongsi/451.html,http://hr.tencent.com/,https://www.lagou.com/jobs/3404947.html
资深数据挖掘工程师/数据...,40k-60k /北京 / 经验3-5年 / 硕士及以上 / 全职,数据挖掘<p>大数据<p>数据分析,大平台，待遇好，技术氛围浓，大牛多,职位描述：<p>资深数据挖掘工程师/数据挖掘专家<p>我们通过用户静态特征、APP、网页行为等大数据，结合具体业务场景和产品需求，分析并挖掘大数据营销、运营、推广策略，同时搭建智能化平台。<p><p>数据挖掘工程师岗位职责：<p>主要负责数据分析和建模工作，研发大数据运营、推广策略的核心算法。<p>参与业务探索的全过程，从数据角度分析并寻找适合具体业务场景的增长点及其解决方案。<p><p>岗位要求：<p>至少3年数据挖掘工作经验；可以独立负责数据建模工作；有互联网企业工作经历。<p>硕士及以上学历，有较强的数学、统计基础；毕业于国内外重点大学数学/人工智能/电子工程专业。<p>有一定的数据开发能力；熟练掌握Python；熟悉Hive、Spark者优先。<p>有较强的逻辑分析能力、擅于发现并分析问题。<p>有良好的团队意识及沟通能力。,北京 - 海淀区 - 西北旺 - 西北旺东路10号院中关村软件园二期西区7号,网易,电子商务，移动互联网,上市公司,2000人以上,,https://www.lagou.com/gongsi/329.html,http://hr.163.com/,https://www.lagou.com/jobs/3429394.html
反作弊数据挖掘工程师-网盟,20k-40k /北京 / 经验1-3年 / 本科及以上 / 全职,数据挖掘,六险一金，高薪期权，弹性工作，扁平管理，晋升空间,职位描述：<p>职位职责：<p>1、负责竞价广告及品牌广告反作弊系统的系统设计及策略优化；<p>2、通过海量数据，分析与挖掘各种潜在关联，从而不断优化反作弊效果，更好地识别作弊流量，保障客户利益和公司长远健康发展；<p><p>职位要求：<p>1、计算机或安全相关专业本科及以上学历；<p>2、熟悉机器学习、数据挖掘、数据分析、分布式计算至少某一方面，有较深的理论研究和实践经验<p>3、精通至少一门编程语言，熟练运用各种常用算法和数据结构，有独立的实现能力<p>4、有互联网相关反作弊工作经验者优先；<p>5、具备优秀的逻辑思维能力，对解决挑战性问题充满热情，善于解决问题和分析问题；<p>6、良好的团队合作精神，较强的沟通能力和学习能力；<p>7、有数据分析及数据挖掘相关工作经验者优先；,北京 - 海淀区 - 双榆树 - 北京市海淀区北三环西路43号中航广场,今日头条,移动互联网，数据服务,C轮,500-2000人,,https://www.lagou.com/gongsi/62.html,http://www.bytedance.com/,https://www.lagou.com/jobs/3928396.html
数据挖掘工程师,15k-25k /北京 / 经验1-3年 / 本科及以上 / 全职,金融<p>建模<p>算法<p>数据挖掘<p>大数据,包三餐，交通补助，弹性工作,职位描述：<p>职责描述：<p>1. 负责针对金融或者互联网金融等行业设计并开发各类大数据风控模型或用户模型；<p>2. 探索并分析各类数据源，结合具体业务场景，挖掘用户行为特点，设计数据分析与建模方案。<p>3. 结合客户需求及模型实际应用效果，不断优化模型算法，提升大数据能力。<p>任职要求：<p>1. 本科及以上学历，统计学、数学、计算机、电子工程等相关专业。<p>2. 一年以上金融/互联网金融领域标杆企业的模型开发经验；<p>3. 熟悉各类机器学习算法（逻辑回归、决策树、SVM、神经网络等），并至少对一种算法有深入理解。<p>4. 具有扎实的编程基础，熟悉主流的数据结构算法，能熟练运用Python、R等工具进行数据分析和模型建模。<p>5. 熟练掌握SQL/Hive，熟悉Hadoop/Spark，拥有海量数据处理经验者优先。<p>5. 优秀的团队合作精神和沟通表达能力，学习能力强，勤于思考，具有创新精神，乐于面对挑战。,北京 - 海淀区 - 清河 - 黑泉路路康健宝盛广场C座南3层,去哪儿网-保险金融,移动互联网,不需要融资,50-150人,,https://www.lagou.com/gongsi/278580.html,http://www.11bee.com/,https://www.lagou.com/jobs/4112957.html
