job_name,job_request,position_label,job_advantage,description,work_addr,comp_name,comp_domain,comp_stage,comp_scale,comp_invest,lagou_comp_page,comp_index_page,lg_url
数据挖掘工程师,18k-36k /北京 / 经验1-3年 / 本科及以上 / 全职,数据<p>数据挖掘,医疗大数据 期权,职位描述：<p>医疗大数据具备丰富的应用价值，我们通过自然语言处理技术、数据挖掘技术、分布式数据处理计算等技术，将医疗全量实时的大数据处理为更可查询和建模的语义粒度，为上层业务提供高质量的医疗基础数据。<p>工作职责：<p>1、海量医疗数据的清洗、归一、语义分析等算法研发。<p>2、自然语言文本中信息的结构化抽取和挖掘策略研发。<p>3、基于结构化知识的搜索、推理等策略研发。<p>职位要求：<p>1、2年以上文本处理、NLP领域相关经验。<p>2、精通Python编程，熟悉Linux系统，熟悉基于hadoop等分布式数据处理技术。<p>3、了解知识图谱的基本原理、概念和应用。<p>4、熟悉文本语义分析算法更佳。<p>5、熟悉基本机器学习算法更佳。<p>6、优秀的分析和解决问题的能力，对挑战性问题充满激情。<p>7、良好的团队合作精神，较强的沟通能力。,北京 - 海淀区 - 北太平庄 - 花园北路35号院9号楼8层,医渡云（北京）技术有限公司,O2O，医疗健康,B轮,150-500人,,https://www.lagou.com/gongsi/84814.html,http://www.yiducloud.com.cn/,https://www.lagou.com/jobs/1092541.html
数据挖掘工程师--北京,20k-40k /北京 / 经验3-5年 / 本科及以上 / 全职,数据分析<p>算法<p>数据挖掘<p>机器学习<p>深度学习<p>大数据,六险一金,职位描述：<p>基本要求<p>1.认真，细致，聪明，善于发现和解决问题<p>2.数学，计算机.电子工程或相关专业背景<p>3.能熟练使用Python/Perl/Shell等脚本语言进行数据处理和分析<p>4.熟悉常用机器学习模型<p><p>工作职责<p>1.对海量业务数据进行处理和分析，发现和跟踪其中的问题<p>2.能够从业务和产品的角度出发，利用数据发现产品，系统或是业务的瓶颈，并提出优化的方案<p>3.能够利用数据挖掘，机器学习等技术解决实际问题，比如实现模块或流程自动化，或者是有算法精度的优化，建立各种业务逻辑模型和数学模型，帮助公司改善运营管理，节省成本<p><p>优先考虑<p>1.有ACM算法大赛经验。<p>2.有数据挖掘，机器学习，信息检索，自然语言处理等研究背景<p>3.有海量数据挖掘项目经验,北京 - 海淀区 - 五道口清华科技园,明略数据,数据服务,C轮,150-500人,,https://www.lagou.com/gongsi/62831.html,http://www.mininglamp.com/,https://www.lagou.com/jobs/4114521.html
数据挖掘,25K-50K /杭州 / 经验3-5年 / 本科及以上 / 全职,数据<p>数据挖掘,互联网金融大数据人工智能,职位描述：<p>在这里，你能为蚂蚁金服的智能金融机器人、运营决策大脑、全网舆情、信息风险管控、财资挖掘等高精尖前沿应用添砖加瓦；<p>在这里，你能手握真实的海量用户数据利用各种大数据和算法技术反复把玩；<p>在这里，你能遇见一群有情有义的创客，远离办公室政治，大家一起享受攻坚后的喜悦，品味失败后的苦涩，职业生涯独一无二的回忆；<p>你将和我们携手探索智能运营的无限可能和广阔前景。<p>岗位描述:<p>1. 独立完成领域中大型项目的系统分析、设计，并主导完成技术方案设计和编码落地任务，确保技术方案有效落地及质量；<p>2. 具有体系化的技术架构思维，能够确保技术架构的质量保障、扩展性，前瞻性；<p>3. 技术方案设计灵活支撑业务的同时，对于系统容量、稳定性、性能等有较为深厚的思考与理解；<p>4. 能协同作战，拿到目标结果，在支撑业务高速发展的同时从产品、数据、技术角度沉淀出业务运营经验；<p>5. 结合行业发展趋势和公司战略布局，制定合理的数据技术规划，促进团队数据技术沉淀积累<p>岗位要求:<p>1. 扎实的java编程基础，研究过至少一个开源框架源码或主导过大型web应用开发经验者优先；<p>2. 熟悉Linux、DB、NoSQL、Hadoop、HBase、Storm、数据分析建模、分布式计算存储等数据应用技术，主导过成规模的大数据应用的优先；<p>3. 熟悉常用架构原则、领域驱动设计、研发质量管控，高度融入互联网研发模式，熟悉高并发、大数据量下的性能优化；<p>4. 一杆到底解决问题的能力，产品草稿图，系分框架，质量保障都能覆盖，能产得出一手漂亮代码；<p>5. 懂得团队协同、补位，懂得带领团队综合使用各种资源解决问题；<p>6. 对数据应用行业发展有洞察力的优先，经常出没峰会做技术分享的同学优先；<p>招聘责任人:,杭州 - 西湖区 - 西湖 - 黄龙时代广场B座,蚂蚁金服集团,金融，移动互联网,B轮,2000人以上,,https://www.lagou.com/gongsi/153849.html,https://www.antfin.com/,https://www.lagou.com/jobs/1959066.html
数据挖掘工程师,8k-16k /成都 / 经验3-5年 / 本科及以上 / 全职,数据<p>大数据<p>数据挖掘,五险一金 补充医疗报销 定期体检,职位描述：<p>岗位职责：<p>1、针对具体业务需求设计算法模型，实现或指导实现算法模型；<p>2、用机器学习、文本挖掘等技术，对数据进行挖掘；<p>3、构建通用的分布式环境下算法平台，支持业务相关算法实现和应用。<p>任职要求：<p>1、熟悉python、R语言、Scala、SAS等编程语言与工具者优先；<p>2、统计学、数学或计算机专业本科及以上，两年以上从事算法研究经验；<p>3、有丰富的机器学习、用户行为分析、推荐算法或广告算法相关项目背景，有推荐系统或广告系统研发经验者优先；<p>4、熟悉常用分类、聚类、关联分析算法和数据挖掘模型；<p>5、熟悉spark-mllib、mahout、hadoop、hive等优先；<p>6、责任心强，具有良好的团队合作精神，学习能力强。,- 东大街下东大街段216号46层,思特奇Si-tech,数据服务,上市公司,2000人以上,,https://www.lagou.com/gongsi/4184.html,http://www.si-tech.com.cn/,https://www.lagou.com/jobs/2314879.html
数据挖掘开发工程师,20k-40k /北京 / 经验3-5年 / 本科及以上 / 全职,数据<p>大数据<p>数据挖掘,百度T11创业公司，技术氛围浓厚,职位描述：<p>工作职责：<p>1.根据需求文档完成功能设计、开发与测试<p>2.分析与解决线上问题，定位线上服务瓶颈与调优系统性能      <p>3.分析与挖掘大规模数据<p>职位要求：<p>1.计算机或相关专业本科以上学历<p>2.熟悉c/c++，      java， python之一，对数据结构和算法设计具有深刻的理解<p>3.具备丰富的Linux/Unix下开发经验，熟悉多线程编程、网络编程，有后端模块开发经验者优先      <p>4.熟悉Linux      C/C++开发工具和相关开发测试工具的使用，熟练掌握shell、perl、python使用者优先<p>5.熟悉分布式系统、大规模分布式存储和数据处理、hadoop、spark、redis、mongo等相关技术者优先<p>6.熟练使用关系数据库，如MySQL等<p>有以下经验者优先<p>- 网页抓取和解析<p>- 数据提取与清洗<p>- 数据库建模、索引优化<p>- 数据分析与统计<p>- 参与过数据挖掘、机器学习方面工作或研究,北京 - 朝阳区 - 望京 - 望京SOHO,爱云校,教育，数据服务,C轮,500-2000人,,https://www.lagou.com/gongsi/28393.html,http://www.yunxiao.com/,https://www.lagou.com/jobs/2504664.html
数据挖掘/算法工程师,15k-30k /上海 / 经验3-5年 / 本科及以上 / 全职,算法<p>数据挖掘<p>机器学习,技术大牛 团队优秀 发展空间大,职位描述：<p>岗位职责：<p>- 负责洋码头搜索/推荐/广告/反作弊算法的设计与研发；<p>- 负责数据清洗和过滤，特征抽取，算法实验，效果分析；<p>- 负责设计并实施算法的新方案、优化算法效果；<p>- 推进数据挖掘及机器学习算法在新业务领域的应用，挖掘得到有商业和产品价值的结论。<p>职位要求：<p>- 良好的编程、数据结构基础，熟悉java/python语言，熟悉Linux开发；<p>- 掌握基本数据挖掘方法，聚类分析、分类、回归、协同过滤、关联分析、推荐等基础算法的原理和工具，熟悉一种或多种例如numpy， pandas， sklearn， xgboost， tensorflow等开源工具，并有实际建模经验；<p>- 熟悉Hadoop、Hive、Spark等一个或多个分布式计算框架；<p>- 有一年以上数据挖掘相关工作经验，有分布式机器学习框架应用或开发经验者优先；<p>- 在机器学习/NLP/统计分析/特征工程等某方面有深入研究的优先；<p>- 有良好的团队合作意识，较强的沟通能力，敢于挑战新技术。认真负责，善于分析问题的本质，有积极钻研的态度，学习新知识的激情，有一定的抗压能力；<p>- 欢迎有担当，有能力，在机器学习，人工智能，深度学习等方面想进一步实践和提升的小伙伴。,上海 - 静安区 - 汶水路 - 汶水路299弄智汇园31~33号11栋,洋码头,移动互联网，电子商务,B轮,500-2000人,,https://www.lagou.com/gongsi/22851.html,http://www.ymatou.com/,https://www.lagou.com/jobs/3700682.html
数据挖掘工程师,10k-20k /广州 / 经验1-3年 / 本科及以上 / 全职,算法<p>数据挖掘<p>大数据<p>信息安全,双休、晋升快,职位描述：<p>职位描述：<p>1、从海量数据中，利用数据挖掘技术，挖出用户/资产的偏好特征、异常行为，用户画像等<p>2、使用数据挖掘和机器学习识别已知或者未知安全威胁；<p>3、探索业界和学术界前沿的安全分析。<p><p>工作职责：分析业务逻辑，对数据进行数据挖掘和分析，提取关键信息。<p><p>招聘要求：<p>1. 本科以上学历，计算机相关专业，数学专业和研究生优先<p>2. 掌握常见的机器学习相关算法，并深入理解应用场景；<p>3. 必须有一年以上代码编写经验，熟悉一种大数据语言R/SCALA/PYTHON<p>4. 有一个成熟的数据挖掘项目建模经验，特征的提取和算法的选择有方法论<p>5. 有深入研究画像、图分析和语义分析等领域的优先<p>6. 踏实勤奋，自我驱动，善于沟通,广州 - 天河区 - 棠下 - 黄埔大道中路336号御发商务中心6楼,蓝盾信息安全技术股份有限公司,信息安全,上市公司,500-2000人,,https://www.lagou.com/gongsi/50784.html,http://www.bluedon.com/,https://www.lagou.com/jobs/4048485.html
数据挖掘,20k-40k /北京 / 经验3-5年 / 本科及以上 / 全职,资深<p>高级<p>数据挖掘<p>机器学习<p>大数据<p>数据分析,大平台，技术氛围好，成长空间大，年终多薪,职位描述：<p>工作职责：<p> 1、结合具体业务场景，发现潜在的特征模型，挖掘现有数据的价值； <p>2、对美团酒店用户和潜在用户的特征进行深入挖掘， 帮助我们不断改进产品和运营策略； <p>3、从实际需求出发，研究和改进数据挖掘算法和计算平台；<p> 职位资格： <p>1、熟悉数据挖掘相关算法(决策树、SVM、聚类、逻辑回归、贝叶斯)，有扎实的基本功和良好的逻辑思维能力；<p> 2、对数据敏感，有强烈的好奇心，喜欢折腾数据并从数据中发现价值 ； <p>3、熟悉Java或者Python语言，熟悉SQL和ETL相关流程 ； <p>4、理解数据仓库概念和技术，熟悉MySQL/Hive优先；  <p>5、有Hadoop/Hive/Impala/Spark/MPI相关经验者或者其他大规模数据处理经验者优先。,北京 - 朝阳区 - 望京 - 望京国际研发园F/G座,美团点评,移动互联网，O2O,D轮及以上,2000人以上,,https://www.lagou.com/gongsi/50702.html,http://www.meituan.com/,https://www.lagou.com/jobs/4011058.html
数据挖掘工程师,25k-50k /北京 / 经验不限 / 学历不限 / 全职,spark<p>hadoop<p>数据挖掘<p>大数据,大平台，快速成长，靠谱团队,职位描述：<p>岗位职责：<p>1、从海量数据中，利用数据挖掘技术，挖出用户的偏好特征、行为规律<p>2、构建健壮的挖掘系统，提供高可用、可扩展的离线挖掘系统<p>3、基于流式计算架构，建立实时特征生产系统    <p>任职资格：<p>1、岗位要求精通Java，会一门脚本语言如python等熟悉常见的数据挖掘或机器学习算法<p>2、了解hadoop原理，有编写map-reduce/spark开发经验<p>3、在数据挖掘方面有两年以上的项目经验<p>4、扎实的JAVA基础，熟练掌握j2EE开发及相关技术<p>5、熟悉常用设计模式，熟悉常见的大数据开源项目，如HBase、Spark等。,北京 - 海淀区 - 西北旺 - 北京 - 海淀区 - 西北旺 - 文思海辉大厦,滴滴出行,移动互联网,不需要融资,2000人以上,,https://www.lagou.com/gongsi/2474.html,http://www.didichuxing.com/,https://www.lagou.com/jobs/4023247.html
数据挖掘工程师,25k-50k /北京 / 经验不限 / 本科及以上 / 全职,数据挖掘<p>大数据<p>机器学习<p>自然语言处理,行业大牛，人工智能，前沿技术及产品,职位描述：<p>职位描述<p>负责自然语言及结构化数据信息抽取和挖掘策略研发<p>负责各种垂类资源搜索服务研发和维护<p>探索数据挖掘关键技术，并应用到各类数据服务之中<p>  职位要求<p>计算机相关学科本科及以上学历，3年以上工作经验<p>熟练掌握自然语言处理的基本原理和方法<p>对机器学习/深度学习的基本原理和方法有一定了解和经验<p>熟练掌握一门以上计算机语言（如python）和数据处理技能<p>较强的学习能力和动手能力，对数据敏感且严谨<p>搜索/推荐/知识图谱相关工作经验者优先<p>有分布式数据处理平台开发经验者优先,北京 - 朝阳区 - 团结湖 - 北京市朝阳区工体北路甲二号盈科中心裙房办公楼1-4层,猎户星空,移动互联网，硬件,A轮,150-500人,,https://www.lagou.com/gongsi/172285.html,http://www.ainirobot.com/,https://www.lagou.com/jobs/3950924.html
