job_name,job_request,position_label,job_advantage,description,work_addr,comp_name,comp_domain,comp_stage,comp_scale,comp_invest,lagou_comp_page,comp_index_page,lg_url
高级后端工程师（搜索/推荐...,15k-30k /上海 / 经验3-5年 / 大专及以上 / 全职,python<p>数据<p>算法<p>大数据<p>电商<p>自然语言处理,行业发展前景好 公司行业领先 晋升机会多,职位描述：<p>工作职责： <p>1.参与搜索/推荐系统的研发 <p>2.数据挖掘支持，文本处理、文本挖掘、相关性应用 <p>3.参与内部系统开发<p>资质要求： <p>1.专科以上学历，计算机等相关工科学位，3-6年相关工作经验<p>2.熟练掌握C/C++、Java、Python等任何后端语言至少之一，对深入使用Python感兴趣 <p>3.具备良好的数据结构、算法基础，开发功底扎实 <p>4.具备Linux环境、数据库、HTTP等后端开发基础，有RESTful服务构架和应用经验优先 <p>5.理解数据挖掘/搜索系统/推荐系统的基础原理优先 <p>6.自我驱动，追求进步和探索，积极主动，工作责任心强,- 金沙江路3131号,齐家网,O2O ，生活服务,D轮及以上,2000人以上,,https://www.lagou.com/gongsi/5330.html,http://www.jia.com/,https://www.lagou.com/jobs/2447620.html
资深数据挖掘工程师（NLP\...,25k-50k /上海 / 经验5-10年 / 硕士及以上 / 全职,资深<p>高级<p>数据挖掘<p>NLP<p>反作弊<p>机器学习,海量数据,职位描述：<p>岗位职责<p>1.负责通过机器学习算法和规则实现对垃圾内容的识别，包括凑字乱打，广告，涉黄，违法，品类无关等，对每一种类型的准确率和召回率负责。<p>2.利用自然语言处理算法分析文本内容，判断作者身份，如商家、同人等。<p>3.通过模型优化，提升机器能准确判断的占比，减少人工审核。<p>4.跟进业界最新动态，独立完成算法的调研调优和开发上线。<p><p>岗位要求<p>1.数学／计算机相关专业优先，硕士及以上学历。<p>2.对文本算法（分类，聚类，语义分析，概率模型，相似度等）有深入的理解和应用经验。<p>3.具备较好的开发能力和业务理解能力。<p>4.有大型互联网企业工作经历优先。,上海市 - 长宁区 - 中山公园 - 安化路492号易园,美团点评,移动互联网，O2O,D轮及以上,2000人以上,,https://www.lagou.com/gongsi/50702.html,http://www.meituan.com/,https://www.lagou.com/jobs/3394599.html
数据挖掘专家（ETL方向）,20k-30k /上海 / 经验1-3年 / 学历不限 / 全职,数据挖掘,发展空间大，上市公司，福利多多,职位描述：<p>职位描述：<p>1，根据公司业务需求，针对整体运营数据完成各个维度的统计与分析；<p>2，配合公司财务部门提取财务报表相关运营数据，并对数据进行挖掘分析；<p>3，设计研发公司财务、公共关系等部门的模型和数据产品。<p>任职要求：<p>1，国内外知名大学毕业，数学、统计学、金融、计算机等专业，硕士及以上学历，1年及以上工作经验；<p>2，熟练掌握orcale/MySQL等关系型数据库，能够自主完成数据提取与分析；<p>3，熟悉Python数据分析挖掘包，能够自主完成数据分析工作；<p>4，有Hadoop、ETL和数仓经验优先 <p>5，做事细心有耐心，有极强的责任心、学习能力、沟通协作能力。,上海 - 浦东新区 - 张江 - 丹桂路999号,拍拍贷,金融,上市公司,2000人以上,,https://www.lagou.com/gongsi/6044.html,http://www.ppdai.com/,https://www.lagou.com/jobs/4133892.html
商业数据挖掘工程师（社会...,11k-22k /上海 / 经验1-3年 / 硕士及以上 / 全职,复杂网络分析<p>社会网络分析<p>数据分析<p>算法<p>数据挖掘,优秀团队，快速成长，弹性工作，发展前景好,职位描述：<p>1、结合公司业务提供模型算法和数据分析支持，并不断完善模型算法及优化；<p>2、负责公司相关数据模型产品的设计工作；<p><p>岗位要求：<p>1、硕士及以上学历；计算机、商科、物理、传播学、数学等相关专业；<p>2、熟悉复杂网络分析/社会网络分析相关技术，在以下至少一个领域有较深入研究：网络传播、影响最大化、链接预测、社群发现、结构洞、专家发现；<p>3、熟练运用Python语言；了解SQL；<p>4、熟悉常见的分类、聚类、推荐等机器学习算法及原理，和它们的使用场景；<p>5、理解公司业务背景，结合业务需求进行算法模型研发；<p>6、对数据敏感，擅于发现关键问题；<p>7、优秀的沟通和表达能力，清楚的表达个人想法、理解他人观点，具备团队合作意识和推动协作达成的能力；<p>8、具有良好的商业敏感度和优秀的数据分析技能，采用实用的分析方法以解决商业问题。,上海市 - 徐汇区 - 漕河泾 - 虹漕路456号12号光启大楼1803,MarcPoint,电子商务，广告营销,天使轮,15-50人,,https://www.lagou.com/gongsi/41486.html,http://www.marcpoint.com/,https://www.lagou.com/jobs/3959317.html
数据挖掘专家（机器学习方向）,25k-40k /上海 / 经验1-3年 / 本科及以上 / 全职,金融<p>建模<p>统计<p>数据分析<p>行业研究<p>风控,广阔的发展平台、绩效奖金、优质福利,职位描述：<p>【岗位职责】<p>1、通过研究各类数据，为业务提供全方位支持，包括风险预测，反欺诈识别，模式识别等；<p>2、追踪业内技术潮流，建立机器学习模型如GBDT，随机森林，复杂网络（Complex networks）监控，神经网络等；<p>3、负责模型的建立，监控，优化和部署工作；<p>4、参与公司大数据分析平台的建设。<p><p>【任职资格】<p>1、本科及以上学历，数学、物理、统计、经济学等专业或工科（不限专业）；<p>2、熟悉Python，R，SAS， R，SPSS等统计软件和SQL等数据库语言；<p>3、具有基本的数据库知识；<p>4、热爱金融，执行能力强，善于沟通协调，有创新意识，逻辑思维能力强；<p>5、为人诚实、正直，对工作勤勉负责。,上海 - 虹口区 - 四川北路 - 四川北路859号中信广场,小赢科技,金融,B轮,500-2000人,周大福(A轮),https://www.lagou.com/gongsi/24587.html,https://www.xiaoying.com/,https://www.lagou.com/jobs/4107724.html
风控数据挖掘工程师,15k-25k /上海 / 经验1-3年 / 本科及以上 / 全职,金融<p>建模<p>大数据<p>机器学习<p>数据分析<p>数据挖掘,发展空间大，薪资福利好，保险背景，扁平化管理,职位描述：<p>1. 开展风险管理数据合作平台的测试、引入、数据查询、上报管理<p>    2. 负责客户数据采集、身份识别流程的制定及开发需求的提出，实施欺诈风险管理流程设计和成本管理<p>    3. 建立风险因子库，开发风险模型与策略规则，包括逻辑回归、决策树、随机森林、GBDT、聚类、关联网络、社交网络等，配合IT部门开展开发及上线部署开展欺诈风险的决策和实时监控。<p>      4. 跟踪和分析资产质量表现和变化，定期实施更新与优化<p>    岗位要求：<p>  1、本科及以上学历；统计学、数学、计算机或电子工程等方向相关专业；<p><p>2、2年及以上互联网信贷风险模型实战经验，熟悉信用卡、消费金融、现金分期等产品的业务流程和风控指标规则；<p><p>3、精通SQL，至少精通SAS/R/PYTHON/SPARK等一种语言；<p><p>4、有大数据风控模型实战经验者优先。,上海 - 黄浦区 - 外滩 - 上银大厦1605室,惠金所,移动互联网，金融,不需要融资,150-500人,,https://www.lagou.com/gongsi/74722.html,https://www.hfax.com/,https://www.lagou.com/jobs/4125079.html
算法工程师（数据挖掘/知识...,25k-50k /上海 / 经验3-5年 / 本科及以上 / 全职,算法<p>数据挖掘<p>推荐<p>NLP<p>大数据<p>机器学习,技术大神，自由度高，成长空间,职位描述：<p><p>公司建立人工智能实验室，实验室的主任原本被阿里邀请去达摩院，却断然加入我司创建AI Lab。<p><p>岗位职责：<p>1、挖掘行业数据，构建领域知识图谱，在此基础上挖掘人物/企业/职务关系；<p>2、基于 Hadoop、Spark 等高性能计算平台，构建和改进数据挖掘和机器学习算法与技术，支撑公司的业务发展；<p>3、建立对行业用户和内容的深入理解，以数据挖掘和数据分析为基础，发现新的产品改进点，驱动产品改进，探索新的产品形态；<p>4、跟踪学术界和工业界在挖掘算法方面的进展和趋势，并尝试将其应用于实际的生产环境；<p>要求：<p>1、工作经验2-5年；熟悉文本相关性算法、特征提取等技术，至少一至两个项目的经验；<p>2、熟练掌握 Python、Java 等其中的一种或几种编程语言，参与过实际工程项目，理解基本的编程模式；<p>3、使用过 Hadoop、Spark、MPI 等并行计算平台中的一种或几种，对并行化计算有较深入的认识和理解；<p>4、理解常用的机器学习和数据挖掘算法，并进行过相关的实践；<p>5、沟通交流能力强，对工作有热情，愿意付出额外的努力以追求更好的结果；<p>加分项<p>1、有推荐、ranking、NLP等其他算法方向的实际工程和项目经验；<p>2、有深度学习等机器学习前沿方向的研究经历；<p>3、有较强的产品理解能力，有出色的沟通能力，能够独立推动项目进展；<p>4、独立走过分析、实验、上线等整个算法流程。,上海 - 长宁区 - 淞虹路207号,1号店,移动互联网,D轮及以上,2000人以上,,https://www.lagou.com/gongsi/8581.html,http://www.yhd.com/,https://www.lagou.com/jobs/4131685.html
量化数据挖掘分析师,20k-40k /上海 / 经验3-5年 / 硕士及以上 / 全职,金融<p>硬件制造<p>数据分析<p>数据挖掘<p>机器学习,带薪休假，丰富团建，顶级设备，健身补贴,职位描述：<p>必备条件：<p>1、熟悉Python+Pandas或者R+data.table<p>2、有过Feature Engineering的相关经验，具备从数据中提取特征的能力<p>3、有过Boosting、GBM、Random Forrest或者Neural network/Deep Learning等非线性模型的实际项目经验<p>4、具备处理时间序列数据的经验<p>5、熟悉至少一种关系型数据库，熟悉SQL语法<p>6、211或985及以上本科毕业<p><p>加分条件：<p>1、接触过高频金融数据<p>2、熟悉至少一种非关系型数据库（Redis、Mongo等等）<p>3、参加过Kaggle数据竞赛并且有相应的模型作品<p>4、具备使用GPU等硬件加速计算、机器学习的经验<p><p>招聘流程：<p>1、电话面试，30-45分钟，应聘者会被问到相关技术问题，如果任何一个必备条件达不到，将不会通过<p>2、办公室面试，3小时，应聘者会被问到相关技术问题和并完成一个数据分析的任务<p><p>薪酬体系：<p>1、第一个财务年提供约定的底薪+奖金，Offer时将通知<p>2、第二个财务年底薪不变或增加，根据表现发放奖金<p><p>注意：<p>请确定您掌握了您简历上提到的每一个技能,上海 - 静安区 - 北京西路 - 恒隆广场,伯兄资产,金融,不需要融资,少于15人,,https://www.lagou.com/gongsi/108620.html,http://berkeleybrothers.com/,https://www.lagou.com/jobs/2919208.html
数据挖掘高级工程师,20k-40k /上海 / 经验3-5年 / 本科及以上 / 全职,数据挖掘,六险一金，弹性工作，免费三餐，租房补贴，带薪休假，休闲下午茶，扁平管理，过亿用户，职业大牛，团队氛围好,职位描述：<p>职位职责：<p>1、基于每日百亿级展现数据，搭建大数据处理平台;实现流式事件的实时计算，落地储存。对于离线数据完成数据仓库的建立，为数据挖掘提供有效的数据；<p>2、使用用户行为数据，广告投放数据，挖掘数据层次关系，分析媒体.流量.广告主等数据来提高变现效率；<p>3、数据分析，挖掘，模型具体的产品化；了解广告业务，能和PM合作，基于数据驱动持续优化数据产品。<p>4、业务分析、技术把关与人才选拔<p><p>职位要求：<p>1、熟悉C++、JAVA、python中的一种或多种编程技术，编程能力强，熟悉大数据处理技术，善于学习应用业界领先数据架构和技术；<p>2、对大数据开源组件有使用经验，对hadoop/hive/spark/ES/druid 其中一项精通；<p>3、熟悉数据挖掘算法，包括数据清洗.统计学习.分类聚类算法，并能够验证算法效果，将算法应用在广告业务中；<p>4、善于学习，思维活跃，善于从数据中发现.思考并解决问题；<p>5、有广告研发经验者优先，对广告行业有自己思考的优先。,上海 - 徐汇区 - 上海市徐汇区中金国际广场A座15楼,今日头条,移动互联网，数据服务,C轮,500-2000人,,https://www.lagou.com/gongsi/62.html,http://www.bytedance.com/,https://www.lagou.com/jobs/4083733.html
数据挖掘工程师（机器学习）,18k-30k /上海 / 经验3-5年 / 硕士及以上 / 全职,广告营销<p>算法<p>数据挖掘<p>机器学习<p>大数据,技术氛围，晋升空间，优秀团队,职位描述：<p>1.参与构建智能营销系统的数据挖掘和算法建设<p>2.理解相关业务需求<p>3.设计有效评估指标，并设计实现算法优化<p>4.参与业务应用中的设计和讨论<p><p>岗位要求：<p>1.重点大学计算机、统计、数学等相关专业，硕士以上学历，2年以上工作经验<p>2.算法基础扎实，熟悉数据挖掘、机器学习常见算法<p>3.有linux下的开发和工作经验，精通Python、R、MATLAB、SAS等任意一中或者多种数据编程语言<p>4.有分布式计算开发经验、熟悉hive，hadoop，spark者优先<p>5.有精准广告、推荐系统、精确营销等领域工作经验者尤佳<p>6.对数据挖掘事业极其热爱，工作积极投入,上海 - 徐汇区 - 龙华 - 天钥桥路1000号徐汇苑商务楼5楼,数云,企业服务，数据服务,C轮,150-500人,阿里巴巴(C轮)，通鼎互联(B轮),https://www.lagou.com/gongsi/7502.html,http://www.shuyun.com/,https://www.lagou.com/jobs/3594022.html
